english,korea
expected,"예산된, 기대된, 전망"
inspired,"영감을 받은, 직관적이지만 정확한"
organize,"준비하다, 정리하다, 체계화 하다"
perform,"행하다, 수행하다, 실시하다"
specific,"구체적인, 명확한, 분명한"
design,설계하다
collection,"수집, 채집, 집합, 수집물, 소장품"
access,"접근, 이용, 접속, 출입"
complex,"복잡한, 복합의, 까다로운, […에 대한] 고정[강박] 관념"
concurrent,"동시 발생의, 공동의"
integrate,"통합하다, 융합하다, 접목하다, 포함하다"
data ,"자료, 정보"
base,"기초, 기반, 기지, ~로 만든, 위치하다"
statement,"발표, 진술, 문장"
alias,"별명, 가명"
manipulation,"조작, 교묘한 조작, 속임수"
permission,"승인, 허가, 허용"
artificial,"인공의, 인조의, 인위적인"
intelligence,"지능, 정보, 지성"
regression,회귀
classification,분류
narrow,좁은
general,"보통의, 일반의, 전반적인"
neural,신경의
reinforcement,"강화, 보강, 증원"
invalid,"무효한, 불법, 타당하지 않은"
prove,"증명하다, 입증하다, 나타나다"
verify,"확인하다, 증명하다, 검증하다"
improve,"개선하다, 향상하다"
sequence ,"순서, 배열, 서열"
function,"기능, 역활, 작용, 작동"
code,"암호, 코드, 규정"
keyword,"중요어, 표제어"
concatenate,"연결하다, 연결한"
constant,"일정한, 지속적인, 끊임없는, 계속되는"
variable,"변수, 다양한, 변화하는"
parameter,"매개변수, 조건, 한계"
method,"방법, 방식, 수단"
prepare,"준비하다, 마련하다, 대비하다"
execution,"사형집행, 실행"
consist,"구성되다, 이루어지다"
consult,"상담하다, 상의하다, 의논하다, 협의"
format,"형식, 포맷, 형태, 방식, 구성"
literal,"글자 그대로의, 문자의"
compile,"편집하다, 수집하다, 작성되다"
swap,"교환, 치환, 교체, 바꾸다"
system,"체제, 체계, 제도"
program,"과정, 계획"
split,"분할, 나누다, 쪼개다"
strip,"벗기다, 없애다"
slice,"한조각, 자르다"
mount,"산, 탑재하다, "
rack,"받침대, (물건을 거는) …걸이, …대, (열차·비행기·버스 등의) 그물 선반; 격자 선반"
below,"아래에, 영하의, ~이하의"
tutorial,"개별 지도 시간, 사용 지침서"
typical,"보통의, 일반적인"